area,bedrooms,bathrooms,stories,parking,furnishingstatus,logprice,mainroadbin,guest_room,nbasement,hot_waterheating,air_conditioning,pref_area
7420,4,2,3,2,2,16.40327459319198,1,0,0,0,1,1
8960,4,4,4,3,2,16.32103649495501,1,0,0,0,1,0
9960,3,2,2,2,1,16.32103649495501,1,0,1,0,0,1
7500,4,2,2,3,2,16.31817526267398,1,0,1,0,1,1
7420,4,1,2,2,2,16.25000072183826,1,1,1,0,1,0
7500,3,3,1,2,1,16.199675637950744,1,0,1,0,1,1
8580,4,3,4,2,1,16.13298426345207,1,0,0,0,1,1
16200,5,3,2,0,0,16.13298426345207,1,0,0,0,0,0
8100,4,1,2,2,2,16.105010411409665,1,1,1,0,1,1
5750,3,2,4,1,0,16.0978929436408,1,1,0,0,1,1
13200,3,1,2,2,2,16.0978929436408,1,0,1,0,1,1
6000,4,3,2,2,1,16.08567575970221,1,1,1,1,0,0
6550,4,2,2,1,1,16.04659964925325,1,0,0,0,1,1
3500,4,2,2,2,2,16.039052443617866,1,0,0,1,0,0
7800,3,2,2,0,1,16.039052443617866,1,0,0,0,0,1
6000,4,1,2,2,1,16.02378497148708,1,0,1,0,0,0
6600,4,2,2,1,0,16.02378497148708,1,1,1,0,1,1
8500,3,2,4,2,2,16.008280784951115,1,0,0,0,1,0
4600,3,2,2,2,2,16.00043760749009,1,1,0,0,1,0
6420,3,2,2,1,1,15.99649282919907,1,0,0,0,1,1
4320,3,1,2,2,1,15.984564258333798,1,0,1,1,0,0
7155,3,2,1,2,0,15.976532086636533,1,1,1,0,1,0
8050,3,1,1,1,2,15.972491677099528,1,1,1,0,1,0
4560,3,2,2,1,2,15.972491677099528,1,1,1,0,1,0
8800,3,2,2,2,2,15.964361551016278,1,0,0,0,1,0
6540,4,2,2,2,2,15.960271565764753,1,1,1,0,1,1
6000,3,2,4,0,1,15.951214278652243,1,1,1,0,1,1
8875,3,1,1,1,1,15.943742263813542,1,0,0,0,0,0
7950,5,2,2,2,0,15.943742263813542,1,0,1,1,0,0
5500,4,2,2,1,1,15.943742263813542,1,0,1,0,1,1
7475,3,2,4,2,0,15.943742263813542,1,0,0,0,1,0
7000,3,1,4,2,1,15.943742263813542,1,0,0,0,1,0
4880,4,2,2,1,2,15.931163481606681,1,0,0,0,1,1
5960,3,3,2,1,0,15.918424455829252,1,1,1,0,0,0
6840,5,1,2,1,2,15.90984071213786,1,1,1,0,1,0
7000,3,2,4,2,2,15.90501876036436,1,0,0,0,1,0
7482,3,2,3,1,2,15.900312705886206,1,0,0,1,0,1
9000,4,2,4,2,2,15.892448969425992,1,0,0,0,1,0
6000,3,1,4,2,0,15.890253578862556,1,1,0,0,1,0
6000,4,2,4,1,1,15.883638339743836,1,0,0,0,1,0
6550,3,1,2,0,2,15.879203742675971,1,0,1,0,1,1
6360,3,2,4,0,2,15.87474939232659,1,0,0,0,1,1
6480,3,2,4,2,0,15.856730886823913,1,0,0,0,1,0
6000,4,2,4,2,1,15.856730886823913,1,0,0,0,0,0
6000,4,2,4,1,2,15.838381748155715,1,0,0,0,1,0
6000,3,2,3,0,1,15.838381748155715,1,0,0,0,1,0
6000,3,2,4,1,2,15.833741368599213,1,0,0,0,1,0
6600,3,1,4,3,2,15.829079355493402,1,0,0,0,1,1
4300,3,2,2,1,0,15.824395506180975,1,0,1,0,0,0
7440,3,2,1,0,1,15.819689615143563,1,1,1,0,1,1
7440,3,2,4,1,0,15.819689615143563,1,0,0,0,0,1
6325,3,1,4,1,0,15.819689615143563,1,0,0,0,1,0
6000,4,2,4,1,2,15.81021087118902,1,1,0,0,1,0
5150,3,2,4,2,1,15.81021087118902,1,0,0,0,1,0
6000,3,2,2,1,1,15.81021087118902,1,1,0,0,1,0
6000,3,1,2,1,0,15.81021087118902,1,0,0,0,1,0
11440,4,1,2,1,1,15.809258036433748,1,0,1,0,0,1
9000,4,2,4,1,2,15.79582213373692,1,1,0,0,1,1
7680,4,2,4,1,1,15.790979509261131,1,1,0,0,1,0
6000,3,2,4,1,2,15.790979509261131,1,1,0,0,1,0
6000,3,2,2,1,1,15.781223334315767,1,1,0,0,0,0
8880,2,1,1,1,1,15.771371037872756,1,0,0,0,1,0
6240,4,2,2,1,2,15.771371037872756,1,0,0,0,1,0
6360,4,2,3,2,2,15.766408248530626,1,0,0,0,1,1
11175,3,1,1,1,2,15.761420707019587,1,0,1,0,1,1
8880,3,2,2,1,2,15.751370371166086,1,0,1,0,1,0
13200,2,1,1,1,2,15.751370371166086,1,0,1,1,0,0
7700,3,2,1,2,0,15.74630706920954,1,0,0,0,0,0
6000,3,1,1,1,2,15.741217999702068,1,0,0,0,1,0
12090,4,2,2,2,2,15.730961499534878,1,0,0,0,0,1
4000,3,2,2,0,1,15.730961499534878,1,0,1,0,1,1
6000,4,2,4,0,0,15.725793529376435,1,0,0,0,1,0
5020,3,1,4,0,0,15.720598712499333,1,0,0,0,1,1
6600,2,2,4,0,2,15.71537676851818,1,0,1,0,0,1
4040,3,1,2,1,2,15.710127412632037,1,0,1,1,0,0
4260,4,2,2,0,1,15.710127412632037,1,0,0,1,0,0
6420,3,2,3,0,2,15.710127412632037,1,0,0,0,1,1
6500,3,2,3,0,2,15.710127412632037,1,0,0,0,1,1
5700,3,1,1,2,2,15.710127412632037,1,1,1,0,1,1
6000,3,2,3,0,2,15.710127412632037,1,1,0,0,1,0
6000,3,1,2,1,1,15.70696452122353,1,0,0,1,0,1
4000,3,2,2,1,1,15.704850355531192,1,0,1,0,1,0
10500,3,2,1,1,2,15.704850355531192,1,0,1,0,1,1
6000,3,2,4,0,1,15.6995453033015,1,0,0,0,1,0
3760,3,1,2,2,1,15.688850014184752,1,0,0,1,0,0
8250,3,2,3,0,2,15.688850014184752,1,0,0,0,1,0
6670,3,1,3,0,0,15.688850014184752,1,0,1,0,0,1
3960,3,1,1,2,1,15.683459165549875,1,0,1,0,0,0
7410,3,1,1,2,0,15.683459165549875,1,1,1,0,1,1
8580,5,3,2,2,2,15.678039098080536,1,0,0,0,0,0
5000,3,1,2,0,1,15.678039098080536,1,0,0,0,1,0
6750,2,1,1,2,2,15.674772900293915,1,1,1,0,0,1
4800,3,2,4,0,2,15.672589493312971,1,1,0,0,1,0
7200,3,2,1,3,1,15.65606019136176,1,0,1,0,1,0
6000,4,2,4,1,1,15.65606019136176,1,0,0,0,0,0
4100,3,2,3,2,1,15.65606019136176,1,0,0,0,1,0
9000,3,1,1,1,2,15.65606019136176,1,0,1,0,0,1
6400,3,1,1,1,1,15.65606019136176,1,1,1,0,1,1
6600,3,2,3,0,0,15.65494846250907,1,0,0,0,1,1
6000,4,1,3,0,0,15.650489146312307,1,1,1,0,0,1
6600,3,2,1,0,0,15.644886890763637,1,0,1,0,1,1
5500,3,1,3,1,0,15.644886890763637,1,0,0,0,0,1
5500,3,2,4,1,1,15.63925307304538,1,1,0,0,1,0
6350,3,2,3,0,2,15.63925307304538,1,1,0,0,1,0
5500,3,2,1,2,2,15.63925307304538,1,1,1,0,0,1
4500,3,1,4,0,0,15.633587335509702,1,0,0,0,1,0
5450,4,2,1,0,1,15.633587335509702,1,0,1,0,1,1
6420,3,1,3,0,0,15.627889314395064,1,0,1,0,0,1
3240,4,1,3,1,1,15.625028082114033,1,0,0,0,0,0
6615,4,2,2,1,1,15.622158639686079,1,1,0,1,0,0
6600,3,1,1,2,1,15.622158639686079,1,1,1,0,0,1
8372,3,1,3,2,0,15.622158639686079,1,0,0,0,1,0
4300,6,2,2,0,2,15.621008553302842,1,0,0,0,0,0
9620,3,1,1,2,2,15.621008553302842,1,0,1,0,0,1
6800,2,1,1,2,2,15.610597817285004,1,1,1,0,0,0
8000,3,1,1,2,1,15.610597817285004,1,1,1,0,1,1
6900,3,2,1,0,0,15.610597817285004,1,1,1,0,0,1
3700,4,1,2,0,2,15.598901777521812,1,1,0,0,1,0
6420,3,1,1,0,2,15.598901777521812,1,0,1,0,1,1
7020,3,1,1,2,1,15.598901777521812,1,0,1,0,1,1
6540,3,1,1,2,2,15.598901777521812,1,1,1,0,0,1
7231,3,1,2,0,1,15.598901777521812,1,1,1,0,1,1
6254,4,2,1,1,1,15.598901777521812,1,0,1,0,0,1
7320,4,2,2,0,2,15.598901777521812,1,0,0,0,0,0
6525,3,2,4,1,2,15.598901777521812,1,0,0,0,0,0
15600,3,1,1,2,1,15.597724614348797,1,0,0,0,1,0
7160,3,1,1,2,0,15.58706731987481,1,0,1,0,0,1
6500,3,2,3,0,0,15.58706731987481,1,0,0,0,1,0
5500,3,1,3,1,2,15.585876134504657,1,1,0,0,1,0
11460,3,1,3,2,1,15.585876134504657,1,0,0,0,0,1
4800,3,1,1,0,0,15.584683528519534,1,1,1,0,0,0
5828,4,1,4,0,1,15.575091128828094,1,1,0,0,0,0
5200,3,1,3,0,1,15.575091128828094,1,0,0,0,1,0
4800,3,1,3,0,0,15.575091128828094,1,0,0,0,1,0
7000,3,1,1,2,1,15.573885583172745,1,0,1,0,0,1
6000,3,2,4,0,0,15.569048814372131,1,0,0,0,1,0
5400,4,2,2,2,0,15.56296976829575,1,0,0,0,1,0
4640,4,1,2,1,1,15.56296976829575,1,0,0,0,0,0
5000,3,1,3,0,1,15.56296976829575,1,0,0,0,1,0
6360,3,1,1,2,2,15.56296976829575,1,1,1,0,1,1
5800,3,2,4,0,0,15.56296976829575,1,0,0,0,1,0
6660,4,2,2,1,1,15.547608483134262,1,1,1,0,0,1
10500,4,2,2,1,1,15.538277155705378,1,0,0,0,0,0
4800,5,2,3,0,0,15.538277155705378,0,0,1,1,0,0
4700,4,1,2,1,2,15.538277155705378,1,1,1,0,1,0
5000,3,1,4,0,2,15.538277155705378,1,0,0,0,0,0
